Database Inspection Log - 2025-07-01 13:01:26

=== Database Inspection Summary ===

Database: information_schema
  Table: ADMINISTRABLE_ROLE_AUTHORIZATIONS | Size:     0.00 MB | Rows (approx): 0
  Table: APPLICABLE_ROLES               | Size:     0.00 MB | Rows (approx): 0
  Table: CHARACTER_SETS                 | Size:     0.00 MB | Rows (approx): 0
  Table: CHECK_CONSTRAINTS              | Size:     0.00 MB | Rows (approx): 0
  Table: COLLATIONS                     | Size:     0.00 MB | Rows (approx): 0
  Table: COLLATION_CHARACTER_SET_APPLICABILITY | Size:     0.00 MB | Rows (approx): 0
  Table: COLUMNS                        | Size:     0.00 MB | Rows (approx): 0
  Table: COLUMNS_EXTENSIONS             | Size:     0.00 MB | Rows (approx): 0
  Table: COLUMN_PRIVILEGES              | Size:     0.00 MB | Rows (approx): 0
  Table: COLUMN_STATISTICS              | Size:     0.00 MB | Rows (approx): 0
  Table: ENABLED_ROLES                  | Size:     0.00 MB | Rows (approx): 0
  Table: ENGINES                        | Size:     0.00 MB | Rows (approx): 0
  Table: EVENTS                         | Size:     0.00 MB | Rows (approx): 0
  Table: FILES                          | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_BUFFER_PAGE             | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_BUFFER_PAGE_LRU         | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_BUFFER_POOL_STATS       | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_CACHED_INDEXES          | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_CMP                     | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_CMPMEM                  | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_CMPMEM_RESET            | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_CMP_PER_INDEX           | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_CMP_PER_INDEX_RESET     | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_CMP_RESET               | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_COLUMNS                 | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_DATAFILES               | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FIELDS                  | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FOREIGN                 | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FOREIGN_COLS            | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FT_BEING_DELETED        | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FT_CONFIG               | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FT_DEFAULT_STOPWORD     | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FT_DELETED              | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FT_INDEX_CACHE          | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_FT_INDEX_TABLE          | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_INDEXES                 | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_METRICS                 | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_SESSION_TEMP_TABLESPACES | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_TABLES                  | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_TABLESPACES             | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_TABLESPACES_BRIEF       | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_TABLESTATS              | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_TEMP_TABLE_INFO         | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_TRX                     | Size:     0.00 MB | Rows (approx): 0
  Table: INNODB_VIRTUAL                 | Size:     0.00 MB | Rows (approx): 0
  Table: KEYWORDS                       | Size:     0.00 MB | Rows (approx): 0
  Table: KEY_COLUMN_USAGE               | Size:     0.00 MB | Rows (approx): 0
  Table: OPTIMIZER_TRACE                | Size:     0.00 MB | Rows (approx): 0
  Table: PARAMETERS                     | Size:     0.00 MB | Rows (approx): 0
  Table: PARTITIONS                     | Size:     0.00 MB | Rows (approx): 0
  Table: PLUGINS                        | Size:     0.00 MB | Rows (approx): 0
  Table: PROCESSLIST                    | Size:     0.00 MB | Rows (approx): 0
  Table: PROFILING                      | Size:     0.00 MB | Rows (approx): 0
  Table: REFERENTIAL_CONSTRAINTS        | Size:     0.00 MB | Rows (approx): 0
  Table: RESOURCE_GROUPS                | Size:     0.00 MB | Rows (approx): 0
  Table: ROLE_COLUMN_GRANTS             | Size:     0.00 MB | Rows (approx): 0
  Table: ROLE_ROUTINE_GRANTS            | Size:     0.00 MB | Rows (approx): 0
  Table: ROLE_TABLE_GRANTS              | Size:     0.00 MB | Rows (approx): 0
  Table: ROUTINES                       | Size:     0.00 MB | Rows (approx): 0
  Table: SCHEMATA                       | Size:     0.00 MB | Rows (approx): 0
  Table: SCHEMATA_EXTENSIONS            | Size:     0.00 MB | Rows (approx): 0
  Table: SCHEMA_PRIVILEGES              | Size:     0.00 MB | Rows (approx): 0
  Table: STATISTICS                     | Size:     0.00 MB | Rows (approx): 0
  Table: ST_GEOMETRY_COLUMNS            | Size:     0.00 MB | Rows (approx): 0
  Table: ST_SPATIAL_REFERENCE_SYSTEMS   | Size:     0.00 MB | Rows (approx): 0
  Table: ST_UNITS_OF_MEASURE            | Size:     0.00 MB | Rows (approx): 0
  Table: TABLES                         | Size:     0.00 MB | Rows (approx): 0
  Table: TABLESPACES_EXTENSIONS         | Size:     0.00 MB | Rows (approx): 0
  Table: TABLES_EXTENSIONS              | Size:     0.00 MB | Rows (approx): 0
  Table: TABLE_CONSTRAINTS              | Size:     0.00 MB | Rows (approx): 0
  Table: TABLE_CONSTRAINTS_EXTENSIONS   | Size:     0.00 MB | Rows (approx): 0
  Table: TABLE_PRIVILEGES               | Size:     0.00 MB | Rows (approx): 0
  Table: TRIGGERS                       | Size:     0.00 MB | Rows (approx): 0
  Table: USER_ATTRIBUTES                | Size:     0.00 MB | Rows (approx): 0
  Table: USER_PRIVILEGES                | Size:     0.00 MB | Rows (approx): 0
  Table: VIEWS                          | Size:     0.00 MB | Rows (approx): 0
  Table: VIEW_ROUTINE_USAGE             | Size:     0.00 MB | Rows (approx): 0
  Table: VIEW_TABLE_USAGE               | Size:     0.00 MB | Rows (approx): 0

Database: mysql
  Table: columns_priv                   | Size:     0.02 MB | Rows (approx): 0
  Table: component                      | Size:     0.02 MB | Rows (approx): 0
  Table: db                             | Size:     0.03 MB | Rows (approx): 2
  Table: default_roles                  | Size:     0.02 MB | Rows (approx): 0
  Table: engine_cost                    | Size:     0.02 MB | Rows (approx): 2
  Table: func                           | Size:     0.02 MB | Rows (approx): 0
  Table: general_log                    | Size:     0.00 MB | Rows (approx): 2
  Table: global_grants                  | Size:     0.08 MB | Rows (approx): 98
  Table: gtid_executed                  | Size:     0.02 MB | Rows (approx): 0
  Table: help_category                  | Size:     0.03 MB | Rows (approx): 53
  Table: help_keyword                   | Size:     0.27 MB | Rows (approx): 699
  Table: help_relation                  | Size:     0.08 MB | Rows (approx): 2232
  Table: help_topic                     | Size:     1.61 MB | Rows (approx): 652
  Table: innodb_index_stats             | Size:     0.02 MB | Rows (approx): 6
  Table: innodb_table_stats             | Size:     0.02 MB | Rows (approx): 2
  Table: ndb_binlog_index               | Size:     0.02 MB | Rows (approx): 0
  Table: password_history               | Size:     0.02 MB | Rows (approx): 0
  Table: plugin                         | Size:     0.02 MB | Rows (approx): 0
  Table: procs_priv                     | Size:     0.03 MB | Rows (approx): 0
  Table: proxies_priv                   | Size:     0.03 MB | Rows (approx): 1
  Table: replication_asynchronous_connection_failover | Size:     0.03 MB | Rows (approx): 0
  Table: replication_asynchronous_connection_failover_managed | Size:     0.02 MB | Rows (approx): 0
  Table: replication_group_configuration_version | Size:     0.02 MB | Rows (approx): 1
  Table: replication_group_member_actions | Size:     0.03 MB | Rows (approx): 2
  Table: role_edges                     | Size:     0.02 MB | Rows (approx): 0
  Table: server_cost                    | Size:     0.02 MB | Rows (approx): 6
  Table: servers                        | Size:     0.02 MB | Rows (approx): 0
  Table: slave_master_info              | Size:     0.02 MB | Rows (approx): 0
  Table: slave_relay_log_info           | Size:     0.02 MB | Rows (approx): 0
  Table: slave_worker_info              | Size:     0.02 MB | Rows (approx): 0
  Table: slow_log                       | Size:     0.00 MB | Rows (approx): 2
  Table: tables_priv                    | Size:     0.03 MB | Rows (approx): 2
  Table: time_zone                      | Size:     0.08 MB | Rows (approx): 1831
  Table: time_zone_leap_second          | Size:     0.02 MB | Rows (approx): 0
  Table: time_zone_name                 | Size:     0.23 MB | Rows (approx): 1885
  Table: time_zone_transition           | Size:     4.52 MB | Rows (approx): 116428
  Table: time_zone_transition_type      | Size:     0.45 MB | Rows (approx): 10529
  Table: user                           | Size:     0.02 MB | Rows (approx): 5

Database: performance_schema
  Table: accounts                       | Size:     0.00 MB | Rows (approx): 128
  Table: binary_log_transaction_compression_stats | Size:     0.00 MB | Rows (approx): 0
  Table: cond_instances                 | Size:     0.00 MB | Rows (approx): 256
  Table: data_lock_waits                | Size:     0.00 MB | Rows (approx): 99999
  Table: data_locks                     | Size:     0.00 MB | Rows (approx): 99999
  Table: error_log                      | Size:     0.00 MB | Rows (approx): 9
  Table: events_errors_summary_by_account_by_error | Size:     0.00 MB | Rows (approx): 229888
  Table: events_errors_summary_by_host_by_error | Size:     0.00 MB | Rows (approx): 229888
  Table: events_errors_summary_by_thread_by_error | Size:     0.00 MB | Rows (approx): 459776
  Table: events_errors_summary_by_user_by_error | Size:     0.00 MB | Rows (approx): 229888
  Table: events_errors_summary_global_by_error | Size:     0.00 MB | Rows (approx): 5560
  Table: events_stages_current          | Size:     0.00 MB | Rows (approx): 256
  Table: events_stages_history          | Size:     0.00 MB | Rows (approx): 2560
  Table: events_stages_history_long     | Size:     0.00 MB | Rows (approx): 10000
  Table: events_stages_summary_by_account_by_event_name | Size:     0.00 MB | Rows (approx): 22400
  Table: events_stages_summary_by_host_by_event_name | Size:     0.00 MB | Rows (approx): 22400
  Table: events_stages_summary_by_thread_by_event_name | Size:     0.00 MB | Rows (approx): 44800
  Table: events_stages_summary_by_user_by_event_name | Size:     0.00 MB | Rows (approx): 22400
  Table: events_stages_summary_global_by_event_name | Size:     0.00 MB | Rows (approx): 175
  Table: events_statements_current      | Size:     0.00 MB | Rows (approx): 2560
  Table: events_statements_histogram_by_digest | Size:     0.00 MB | Rows (approx): 10000
